L,p,n_samples,worm_error_rate,worm_uncertainty_2sigma,mld_estimator,mwpm_error_rate,mwpm_uncertainty_2sigma
11,0.0225,11209,0.01989472745115528,0.0026378610836671587,0.01987608172004629,0.024890712820055283,0.0029430109266584785
11,0.025,28166,0.037030462259461716,0.0022503664758489533,0.03639215366044157,0.04722005254562234,0.0025277082466291143
11,0.0275,26429,0.05970713988421805,0.002914971636866207,0.05914440198267046,0.07230693556320711,0.0031862640470814345
11,0.03,22106,0.09287071383334844,0.0039043514048322063,0.0921056545734189,0.11349859766579207,0.00426687454714831
11,0.0325,21585,0.13064628214037521,0.004587760677999215,0.1323977669678018,0.1578410933518647,0.004963191501656274
11,0.035,20791,0.1785868885575489,0.005312487329696129,0.17618001058150157,0.20898465682266365,0.005639517665447477
11,0.0375,4188,0.22492836676217765,0.01290386156739167,0.22095611270296078,0.2681470869149952,0.0136906826525849
11,0.04,3750,0.27413333333333334,0.01456879766766913,0.27337327999999994,0.3130666666666667,0.015145725166356837
11,0.0425,3272,0.3172371638141809,0.016272351402994503,0.32050800733496343,0.3646088019559902,0.016828969357871437
11,0.045,3032,0.36939313984168864,0.017530292217294324,0.3606447889182057,0.3937994722955145,0.01774643477202661
13,0.0225,7424,0.015355603448275912,0.0028541984436851824,0.014326522090517213,0.02168642241379315,0.0033809909707560415
13,0.025,6008,0.0322902796271638,0.004561140899391669,0.03073030958721723,0.039447403462050556,0.005022672021522753
13,0.0275,4634,0.05524384980578334,0.006712028822530121,0.05200440224428149,0.06776003452740609,0.007384186362891199
13,0.03,4264,0.0825515947467167,0.008428978701078614,0.09132532833020635,0.11679174484052535,0.009836917540353474
13,0.0325,4076,0.13542688910696765,0.010719294958624236,0.1350816486751718,0.16903827281648676,0.011740752740616596
13,0.035,3946,0.19310694374049675,0.01256777478396545,0.19013877344145957,0.249113025848961,0.013770095712684003
13,0.0375,3876,0.2450980392156863,0.013818258302935213,0.24985647574819392,0.29282765737874095,0.014618633953678453
13,0.04,3804,0.3154574132492114,0.015068858203794501,0.30785552050473197,0.34910620399579395,0.015457654320938099
13,0.0425,3740,0.3590909090909091,0.01568897661646047,0.3539098663101604,0.388235294117647,0.015938003233754775
13,0.045,3688,0.39533622559652926,0.016101814556925487,0.40350851409978306,0.43872017353579174,0.016342483624194572
17,0.0225,4604,0.004995655951346656,0.002078122225341901,0.005980886185925294,0.007819287576020906,0.002596218983999534
17,0.025,16470,0.01821493624772308,0.0020840360837451988,0.018610048573163396,0.02665452337583485,0.0025101643891064286
17,0.0275,19652,0.04162426216161208,0.002849494331360607,0.04195620293099922,0.058365560757174806,0.0033446148688510333
17,0.03,19000,0.08410526315789468,0.004027055026012668,0.08273527368421052,0.11489473684210527,0.004627013047837749
17,0.0325,13285,0.1394053443733534,0.006010190676754334,0.14088473466315388,0.1875799774181408,0.006773806166266938
17,0.035,4319,0.2116230608937254,0.012430449844834145,0.21068770548738147,0.26834915489696687,0.013484673916006419
17,0.0375,3054,0.2946954813359528,0.016499491155898344,0.2900725933202357,0.3559266535690897,0.01732779888149491
17,0.04,2552,0.36520376175548586,0.019062262862706236,0.3646440830721003,0.4290752351097179,0.019595025187749956
17,0.0425,1906,0.3982161594963274,0.022425815669009787,0.4134073976915006,0.44858342077649527,0.022784004964592028
17,0.045,1126,0.4289520426287744,0.029498603859751005,0.4517162522202486,0.44316163410301956,0.029607821452484577
23,0.0225,11560,0.0022491349480968648,0.0008811906737412856,0.00265776816608998,0.004238754325259553,0.0012085032189092688
23,0.025,10224,0.010269953051643244,0.00199417001572776,0.010072828638497677,0.01770344287949921,0.0026083733433544727
23,0.0275,4106,0.03019970774476377,0.005341497734587796,0.032692303945445644,0.05601558694593278,0.0071772385365308465
23,0.03,3441,0.07120023249055507,0.008767775361068033,0.07627154896832311,0.12292938099389716,0.011195224013991754
23,0.0325,7325,0.1628668941979522,0.00862859027230079,0.15778962457337886,0.2339931740614335,0.009893366441799325
23,0.035,1034,0.2833655705996132,0.028027999539999154,0.25955512572533845,0.3568665377176016,0.02979704475467981
23,0.0375,980,0.3346938775510204,0.03014752068737064,0.35822693877551026,0.41938775510204085,0.031525931404293356
23,0.04,919,0.4069640914036997,0.03241087686097565,0.4235727965179543,0.4831338411316648,0.032968183474204424
23,0.0425,789,0.5031685678073511,0.03560022786401565,0.47249378960709754,0.4740177439797212,0.035552843432806486
23,0.045,484,0.5371900826446281,0.04532863449736546,0.487351652892562,0.4979338842975206,0.0454541573770619
