L,p,n_samples,mwpm_uncorrelated_error_rate,mwpm_uncorrelated_uncertainty_2sigma,worm_uncorrelated_error_rate,worm_uncorrelated_uncertainty_2sigma,mwpm_correlated_error_rate,mwpm_correlated_uncertainty_2sigma,worm_correlated_error_rate,worm_correlated_uncertainty_2sigma
21,0.1,252531,0.009333507569367683,0.000382700320043212,0.007698064792045378,0.00034784466482416294,0.0030016116833181394,0.0002177193996517036,0.0011840130518628866,0.00013686538828177157
21,0.11,238581,0.018886667421127434,0.0005573773591148725,0.01541614797490165,0.0005044595613303505,0.007406289687779011,0.00035107360213547086,0.002900482435734597,0.00022019955723504727
21,0.12,225081,0.03439650614667611,0.00076827580690316,0.027714467236239382,0.0006920074288342308,0.014990159098280165,0.0005122523783861992,0.006357711223959339,0.0003350626429182678
21,0.13,211631,0.057831792128752446,0.001014817392354902,0.046614153881047726,0.0009165023997626904,0.02856386824236523,0.0007241957812140619,0.013462110938378569,0.0005010185675394956
21,0.14,197011,0.08990360944312759,0.0012888934539088109,0.07329539974925259,0.0011743397900815104,0.049271360482409654,0.0009752373448140257,0.025927486282491863,0.0007160784578937359
21,0.15,180111,0.12716602539545063,0.0015700419155990693,0.10457995347313598,0.001442107068644611,0.0767582213190755,0.0012545271155710387,0.044888985125839054,0.0009757907504472233
21,0.16,164811,0.17236106813258822,0.001860702506159126,0.1432853389640255,0.0017260599499502357,0.11258350474179513,0.0015571771743837786,0.07080838050858251,0.001263664750849968
21,0.17,149201,0.2180682435104322,0.0021380840175892345,0.18418777354039184,0.0020071028732438936,0.15671476732729672,0.0018822891436389906,0.10401404816321602,0.001580668244676595
21,0.18,134461,0.26690267066286877,0.0024126210108358433,0.22806613069960802,0.002288507145165927,0.2059333189549386,0.0022055841058368146,0.14503833825421497,0.0019206425903714776
21,0.19,117061,0.31050477955937505,0.002704728365010169,0.27071355959713317,0.0025973349226006376,0.2518857689580646,0.0025375210556463756,0.18892714055065307,0.002288236933245049
21,0.2,98761,0.3498344488208909,0.0030351525230952374,0.3119753748949484,0.002948488275181581,0.29933880782900135,0.0029145586593436953,0.23802918155952246,0.002710325977137272
