L,p,n_samples,worm_parse_1_error_rate,rel_improvement_parse_2,rel_improvement_parse_3,rel_improvement_parse_4,rel_improvement_parse_5
21,0.1,252531,0.0011840130518628866,-0.14046822742472126,-0.13043478260866304,-0.12709030100331029,-0.14046822742472126
21,0.11,238581,0.002900482435734597,-0.1112716763005558,-0.12716763005779994,-0.13728323699423148,-0.13583815028899965
21,0.12,225081,0.006357711223959339,-0.10482180293500268,-0.11670160726764482,-0.12229210342416688,-0.13207547169810233
21,0.13,211631,0.013462110938378569,-0.08634608634608594,-0.10845910845911036,-0.11196911196910796,-0.10986310986310445
21,0.14,197011,0.025927486282491863,-0.0790916209866902,-0.09338292873923347,-0.09808144087705796,-0.09397024275645992
21,0.15,180111,0.044888985125839054,-0.0816326530612254,-0.09758812615955333,-0.09783549783549843,-0.09857761286332631
21,0.16,164811,0.07080838050858251,-0.05784061696658003,-0.06443873179091662,-0.0646101113967431,-0.0635818337617811
21,0.17,149201,0.10401404816321602,-0.054578258908434645,-0.058573361685674744,-0.05554481603195997,-0.054578258908434645
21,0.18,134461,0.14503833825421497,-0.038560147677160934,-0.038560147677160934,-0.036970567121320554,-0.0343041739308785
21,0.19,117061,0.18892714055065307,-0.02563754747693993,-0.02550189907759068,-0.023421956954241204,-0.02093506963284516
21,0.2,98761,0.23802918155952246,-0.018249106687085213,-0.015952016334864753,-0.013484771141738766,-0.010592138846349887
