n_phys,k,d,p,n_samples,worm_error_rate,worm_uncertainty_2sigma,mld_estimator
150,32,6,0.01,155300,0.004649066323245354,0.00034523534552654807,0.004792088860270494
150,32,6,0.0125,20200,0.010693069306930703,0.0014473415421897124,0.010112970297029622
150,32,6,0.015,20100,0.01716417910447765,0.001832246809296859,0.017202034825870682
150,32,6,0.0175,20000,0.025249999999999995,0.002218667956229593,0.026100149999999878
150,32,6,0.02,20000,0.038449999999999984,0.002719249804633623,0.03855534499999991
150,32,6,0.0225,20000,0.05554999999999999,0.0032392652716318245,0.055829600000000035
150,32,6,0.025,157005,0.07660902519028057,0.0013424744683435184,0.07594654182987814
150,32,6,0.0275,136002,0.10066763724062877,0.0016317829719375728,0.10056689975147415
150,32,6,0.03,115010,0.1262325015216068,0.001958599915175745,0.12626830884270934
150,32,6,0.0325,113002,0.15515654590184247,0.0021540714456705673,0.154946373515513
150,32,6,0.035,100002,0.18714625707485855,0.002466734628190609,0.18770725585488302
150,32,6,0.0375,94002,0.2230697219208102,0.0027156436776470294,0.22255932533350353
150,32,6,0.04,91002,0.2616535900309883,0.002914056445352238,0.26053047295663834
150,32,6,0.0425,83002,0.29836630442639933,0.0031762583769495006,0.2977554046890436
150,32,6,0.045,75002,0.33837764326284636,0.003455409238676657,0.3369773206047838
900,182,8,0.01,354721,0.002173539204050501,0.00015638597168042098,0.0021448532790562247
900,182,8,0.0125,413832,0.005511898548203109,0.00023018041253404736,0.005474555133484493
900,182,8,0.015,395904,0.012434832686711972,0.0003522393780387589,0.012162232258325578
900,182,8,0.0175,375562,0.024214377386423513,0.0005016525623231523,0.024111066614832977
900,182,8,0.02,339660,0.043004769475357696,0.000696179116857002,0.042909678502031534
900,182,8,0.0225,326723,0.07179476192370904,0.0009032511618854907,0.07104044006696797
900,182,8,0.025,321998,0.11023049832607656,0.0011038067656501398,0.1099723392691877
900,182,8,0.0275,315680,0.16218639128231116,0.0013121617453981495,0.16135361188545372
900,182,8,0.03,311680,0.22684484086242296,0.0015002834222166122,0.22589726835215596
900,182,8,0.0325,397261,0.30297461870155895,0.0014582079110857745,0.30150634645736674
900,182,8,0.035,391320,0.3846570581621179,0.0015554621151217718,0.38407570070530517
900,182,8,0.0375,387078,0.4728607670805367,0.001604944662485815,0.4715005864451094
900,182,8,0.04,379861,0.5615211880135103,0.0016101822037771203,0.560291309452668
900,182,8,0.0425,374680,0.6466851713462154,0.0015618061324975327,0.6451170075798012
900,182,8,0.045,370200,0.7229875742841707,0.0014710479537657336,0.7212631650459211
2560,514,9,0.01,24800,0.0006048387096774244,0.0003122428954776104,0.0007081370967741973
2560,514,9,0.0125,19250,0.0036883116883117406,0.0008738281854599503,0.0031508207792206866
2560,514,9,0.015,16475,0.00946889226100156,0.0015090406234161313,0.00896388467374809
2560,514,9,0.0175,14650,0.0210238907849829,0.0023705754144429797,0.02029994539249136
2560,514,9,0.02,13000,0.04653846153846153,0.003695012569400695,0.045875546153846036
2560,514,9,0.0225,11550,0.08787878787878789,0.005268746584303322,0.08551332467532458
2560,514,9,0.025,17500,0.14891428571428567,0.005382274001083605,0.14778115428571437
2560,514,9,0.0275,16225,0.23599383667180274,0.006667091330126398,0.23079132819722648
2560,514,9,0.03,19975,0.3457822277847309,0.006730527523718054,0.3460621426783479
2560,514,9,0.0325,14200,0.46288732394366194,0.008368664713788772,0.4666079436619719
2560,514,9,0.035,13725,0.6051001821493625,0.008345088132863502,0.5987207577413479
2560,514,9,0.0375,13125,0.7239619047619048,0.007804097877698567,0.7230308190476191
2560,514,9,0.04,12100,0.8212396694214876,0.006966390976420634,0.8236602314049587
2560,514,9,0.0425,11325,0.8985430463576158,0.00567441693710956,0.89766987196468
2560,514,9,0.045,10025,0.9457356608478803,0.004525118398241764,0.9437751221945138
4800,962,10,0.01,37834,0.0005814875508801665,0.00024787502523309295,0.0006571893006290797
4800,962,10,0.0125,14360,0.002715877437325931,0.0008685949732737795,0.0026627785515319635
4800,962,10,0.015,13059,0.007657554177195824,0.0015256357530367172,0.008274913852515442
4800,962,10,0.0175,2870,0.022648083623693416,0.005554311873927034,0.020573832752613375
4800,962,10,0.02,2500,0.04520000000000002,0.008309701318338705,0.04741340000000005
4800,962,10,0.0225,2180,0.09220183486238531,0.012392706978606612,0.0941530733944953
4800,962,10,0.025,6150,0.18975609756097556,0.009999958406398217,0.18670988617886186
4800,962,10,0.0275,5720,0.3073426573426573,0.012201202173952295,0.30827958041958037
4800,962,10,0.03,9455,0.45182443151771545,0.010236321610146884,0.4520023902696986
4800,962,10,0.0325,5080,0.6165354330708661,0.013643939349600585,0.6137504133858268
4800,962,10,0.035,4700,0.7619148936170212,0.012425114871735251,0.764597340425532
4800,962,10,0.0375,4110,0.8751824817518248,0.010310890252404047,0.8693252554744526
4800,962,10,0.04,2700,0.9403703703703704,0.009114411616276056,0.9404768518518518
4800,962,10,0.0425,760,0.975,0.011326494324556496,0.9767422368421053
4800,962,10,0.045,270,0.9851851851851852,0.014704665964857477,0.9924211111111111
